english,transliteration,dhivehi
# nouns
abaft,kolhufas,ކޮޅުފަސް,
abdomen,ban'du,ބަނޑު
adjective,nanithuru,ނަންެއިތުރު
adult,bodethimeehun,ބޮޑެތިމީހުން
adultery,ziney,ޒިނޭ
adverb,kanithuru,ކަންއިތުރު
advice,naseyhaiy,ނަސޭހަތް
after,fahun,ފަހުން
age,umuru,އުމުރު
ago,kurin,ކުރިން
air,vai,ވައި
alone,ekani,އެކަނި
always,abadhuves,އަބަދުވެސް
ambassador,safeeru,ސަފީރު
ambergris,maavaharu,މާވަހަރު
ammunition,vazan,ވަޒަން
ancestors,kaabafain,ކާބަފައިން
angel,malaaikathu,މަލާއިކަތު
anger,rulhi,ރުޅި
animal,janavaaru,ޖަނަވާރު
annual,aharee,އަހަރީ
answer,javaabu,ޖަވާބު
ant,hini,ހިނި
apple,aafalu,އާފަލު
arm,aiy,އަތް
armpit,kihilifaiy,ކިހިލިފަތް
arrow,theeru,ތީރު
ash,alhi,އަޅި
atoll,atholhu,އަތޮޅު
attendance,haaziree,ހާޒިރީ
auction,neelan,ނީލަން
award,inaamu,އިނާމު
axe,koaraadi,ކޯރާޑި
bag,dhabas,ދަބަސް
ball,boalha,ބޯޅަ
balloon,fuhpaahan,ފުއްޕާހަން
banana,dhonkeyo,ދޮންކެޔޮ
bean,tholhi,ތޮޅި
beard,thun'bulhi,ތުނބުޅި
bed,en'dhu,އެނދު
beef,gerimas,ގެރިމަސް
before,kurin,ކުރިން
bell,ran'gabeelu,ރަނގަބީލު
benefit,faidhaa,ފައިދާ
big,bodu,ބޮޑު
birthday,ufandhuvas,އުފަންދުވަސް
bitter,hithi,ހިތި
black,kalhu,ކަޅު
blanket,rajaa,ރަޖާ
blessing,niumaiy,ނިއުމަތް
blood,ley,ލޭ
blue,noo,ނޫ
boat,dhoani,ދޯނި
bone,kashi,ކަށި
book,foiy,ފޮތް
bottle,fulhi,ފުޅި
brain,sikun'di,ސިކުނޑި
bread,paan,ޕާން
broom,fihigan'du,ފިހިގަނޑު
bucket,baalidhee,ބާލިދީ
building,imaaraaiy,އިމާރާތް
business,viyafaari,ވިޔަފާރި
butterfly,kokaa,ކޮކާ
camel,jamalu,ޖަމަލު 
candy,metaa,މެޓާ
careless,faruvaakuda,ފަރުވާކުޑަ
cat,bulhaa,ބުޅާ
character,shahusihyathu,ޝަހުސިއްޔަތު
chess,raazuvaa,ރާޒުވާ
chicken,kukulhu,ކުކުޅު
chilli,mirus,މިރުސް
cinnamon,fonithoshi,ފޮނިތޮށި
climate,moosun,މޫސުން
cobweb,makunuvaa,މަކުނުވާ
cockroach,kurafi,ކުރަފި
coincidence,ihthifaaagu,އިއްތިފާަގު
cold,fini,ފިނި
collar,giruvaan,ގިރުވާން
comb,funaa,ފުނާ
compass,samugaa,ސަމުގާ
consent,ruhun,ރުހުން
continent,bahru,ބައްރު
coral,muraka,މުރަކަ
corn,zuvaari,ޒުވާރި
correction,islaahu,އިސްލާހު
cotton,kafa,ކަފަ 
courage,hihvaru,ހިއްވަރު 
cow,geri,ގެރި
crab,kakuni,ކަކުނި
crazy,moya,މޮޔަ
crow,kaalhu,ކާޅު
crown,thaaju,ތާޖު
cup,joadu,ޖޯޑު
curly,bulhi,ބުޅި
curry,riha,ރިހަ
dagger,khanjaru,ޚަންޖަރު
danger,nurahkaa,ނުރައްކާ
dangerous,nurahkaatheri,ނުރައްކާތެރި
dark,an'dhiri,އަނދިރި
date,thaareekhu,ތާރީޚު
dates,kadhuru,ކަދުރު
dawn,fathis,ފަތިސް
day,dhuvas,ދުވަސް
daytime,dhuvaalu,ދުވާލު
deaf,beeru,ބީރު
debt,dharani,ދަރަނި
delicious,meeru,މީރު
desert,saharaa,ސަހަރާ
detail,thafuseelu,ތަފުސީލު
difficult,un'dhagoo,އުނދަގޫ
dim,fan'du,ފަނޑު
direct,seedhaa,ސީދާ
discussion,mashvaraa,މަޝްވަރާ
disease,bali,ބަލި
divine,ilaahee,އިލާހީ
divorce,vari,ވަރި
dog,kuhthaa,ކުއްތާ
dolphin,koamas,ކޯމަސް
dome,guhbu,ގުއްބު
donkey,himaaru,ހިމާރު
door,dhoru,ދޮރު
doormat,faifuhi,ފައިފުހި
dot,thiki,ތިކި
double,dheguna,ދެގުނަ
doubt,shahku,ޝައްކު
dove,kotharu,ކޮތަރު
down,thiri,ތިރި
dragonfly,dhondhooni,ދޮންދޫނި
dream,huvafen,ހުވަފެން
drum,beru,ބެރު
duck,asdhooni,އަސްދޫނި
each,konme,ކޮންމެ
ear,kanfaiy,ކަންފަތް
earthquake,binhelun,ބިންހެލުން
earthworm,kilaafani,ކިލާފަނި
east,irumathi,އިރުމަތީ
easy,faseyha,ފަސޭހަ
eclipse,keytha,ކޭތަ
eel,ven,ވެން
egg,bis,ބިސް
eggplant,bashi,ބަށި
elbow,ulhan'boshi,އުޅަނބޮށި
electricity,karantu,ކަރަންޓު
employee,muvahzafu,މުވައްޒަފު
energy,hakatha,ހަކަތަ
environment,thimaaveshi,ތިމާވެށި
evening,haveeru,ހަވީރު
examination,imthihaanu,އިމްތިހާނު
exception,isthisnaa,އިސްތިސްނާ
exhibition,maurazu,މައުރަޒު
expensive,agubodu,އަގުބޮޑު
experience,thajuribaa,ތަޖުރިބާ
eye,loa,ލޯ
eyebrow,buma,ބުމަ
eyelash,esfiya,އެސްފިޔަ
fabric,fothi,ފޮތި
fact,haqeeqaiy,ހަޤީޤަތް
family,aailaa,އާއިލާ
fan,fankaa,ފަންކާ
fat,fala,ފަލަ
father,bahpa,ބައްޕަ
feeling,ihusaas,އިހުސާސް
female,anhen,އަންހެން
fire,alifaan,އަލިފާން
flag,dhidha,ދިދަ
flavour,raha,ރަހަ
foot,faithila,ފައިތިލަ
fox,hiyalhu,ހިޔަޅު
fruit,meyvaa,މޭވާ
fun,majaa,މަޖާ
fur,keheri,ކެހެރި
gecko,hoanu,ހޯނު
ginger,in'guru,އިނގުރު
glass,bihloori,ބިއްލޫރި
goat,bakari,ބަކަރި
gold,ran,ރަން
government,sarukaaru,ސަރުކާރު
grass,vina,ވިނަ
heart,hiiy,ހިތް
heaven,suvaruge,ސުވަރުގެ
hell,naraka,ނަރަކަ
holiday,chuhtee,ޗުއްޓީ
honey,maamui,މާމުއި
horse,as,އަސް
international,bainalaquvaamee,ބައިނަލްއަޤުވާމީ
jewel,javaahiru,ޖަވާހިރު
job,vazeefa,ވަޒީފާ
key,thalhudhan'di,ތަޅުދަނޑި
kitchen,badhige,ބަދިގެ
kite,gudi,ގުޑި
knee,kakoo,ކަކޫ
lacquer,liyelaa,ލިޔެލާ
lazy,kanneiy,ކަންނެތް
leaf,faiy,ފަތް
leg,fai,ފައި
library,kuthubukhaanaa,ކުތުބުޚާނާ
lie,dhogu,ދޮގު
lion,singaa,ސިންގާ
lip,thunfaiy,ތުންފަތް
luck,naseebu,ނަސީބު
lungs,fuhpaamey,ފުއްޕާމޭ
mango,an'bu,އަނބު
maths,hisaabu,ހިސާބު
middle,medhu,މެދު
modern,zamaanee,ޒަމާނީ
moon,han'dhu,ހަނދު
morning,hen'dhunu,ހެނދުނު
mosque,miskiiy,މިސްކިތް
mosquito,madhiri,މަދިރި
mother,manma,މަންމަ
mouse,meedhaa,މީދާ
moustache,mathimas,މަތިމަސް
mouth,an'ga,އަނގަ
night,reygan'du,ރޭގަނޑު
nose,neyfaiy,ނޭފަތް



# verbs
abandon,dhookohlun,ދޫކޮށްލުން
abolish,uvaalun,އުވާލުން
accept,qaboolukurun,ޤަބޫލުކުރުން
add,ginakurun,ގިނަކުރުން
agree,ehbasvun,އެއްބަސްވުން
appoint,iskurun,އިސްކުރުން
argue,zuvaabu,ޒުވާބު
arrest,hahyaru,ހައްޔަރު
breathe,neyvaalun,ނޭވާލުން
bribe,rishvathu,ރިޝްވަތު

# adjectives
active,harakaaiytheri,ހަރަކާތްތެރި

# multiple
actual,haqiqi,ހަޤިޤި
actual,aslu,އަސްލު
admit,ehbasvun,އެއްބަސްވުން  #hospital ga beyvvun
afraid,biru,ބިރު
fear,biru,ބިރު
aid,ehee,އެހީ
aid,eheevun,އެހީވުން
aim,amaazu,އަމާޒު
aim,amaazukurun,އަމާޒުކުރުން
all,hurihaa,ހުރިހާ
all,enmehaa,އެންމެހާ
almost,,މުޅިންހެން
almost,,ގާތްގަޑަކަށް
among,medhugai,މެދުގައި
among,therein,ތެރެއިން
war,han'guraama,ހަނގުރާމަ
battle,han'guraama,ހަނގުރާމަ
different,thafaathu,ތަފާތު
diverse,thafaathu,ތަފާތު
