album,albamu,އަލްބަމު
ambulance,embiulaans,އެމްބިއުލާންސް
apartment,epaatumentu,އެޕާޓްމެންޓު
avalanche,evelaanch,އެވެލާންޗު
average,evereju,އެވަރެޖު
badge,beju,ބެޖު
band,beyndu,ބޭންޑު
bank,beynku,ބޭންކު
battery,beteree,ބެޓެރީ
bicycle,baisikalu,ބައިސިކަލު
bill,bilu,ބިލު
bomb,bon,ބޮން
butter,bataru,ބަޓަރު
cake,keyku,ކޭކު
car,kaaru,ކާރު
carrot,keretu,ކެރެޓު
cement,simenthi,ސިމެންތި
cheese,cheezu,ޗީޒު
chemical,kemikal,ކެމިކަލް
cigarette,sigireytu,ސިގިރޭޓު
column,kolam,ކޮލަމް
committe,komitee,ކޮމިޓީ
control,konturoalu,ކޮންޓުރޯލު
course,koas,ކޯސް
court,koatu,ކޯޓު
desk,desku,ޑެސްކު
director,dairectaru,ޑައިރެކްޓަރު
doctor,doktaru,ޑޮކްޓަރު
dollar,dolaru,ޑޮލަރު
engine,ingeenu,އިންޖީނު
engineer,inginiaru,އިންޖިނިއަރު
fashion,feshan,ފެށަން
feminist,feministu,ފެމިނިސްޓު
film,filmu,ފިލްމު
franchise,furenchaiz,ފުރެންޗައިޒް
furniture,faruneecharu,ފަރުނީޗަރު
general,jeneral,ޖެނެރަލް
gas,geys,ގޭސް
hotel,hotelu,ހޮޓަލު
hospital,hospitalu,ހޮސްޕިޓަލު
icecream,aiskureemu,އައިސްކުރީމު
inch,inchi,އިންޗި
jacket,jeketu,ޖެކެޓު
jam,jeymu,ޖޭމު
jeans,jeensu,ޖީންސު
jug,jagu,ޖަގު
juice,joos,ޖޫސް
list,listu,ލިސްޓު
loan,loanu,ލޯނު
market,maarukeytu,މާރުކޭޓު
member,membaru,މެންބަރު
message,meseju,މެސެޖު
minute,minetu,މިނެޓު
model,modelu,މޮޑެލު
music,miuziku,މިއުޒިކު
newspaper,noospeyparu,ނޫސްޕޭޕަރު
nurse,narus,ނަރުސް
office,ofees,އޮފީސް
orange,orenju,އޮރެންޖު
operation,opareyshan,އޮޕަރޭޝަން
parcel,paarusal,ޕާރުސަލް
park,paaku,ޕާކު
party,paatee,ޕާޓީ
photo,fotoa,ފޮޓޯ
piano,piaanoa,ޕިއާނޯ
program,purograamu,ޕުރޮގްރާމު
quarentine,karanteenu,ކަރަންޓީނު
radio,reydioa,ރޭޑިޔޯ
ranbutan,ranbusthaan,ރަންބުސްތާން
razor,reyzaru,ރޭޒަރު
report,ripoatu,ރިޕޯޓު
ribbon,riban,ރިބަން
sandwich,seynduwich,ސޭންޑުވިޗް
satellite,setelaitu,ސެޓެލައިޓު
science,sainsu,ސައިންސު
signal,sigunalu,ސިގްނަލް
size,saizu,ސައިޒު
snow,sunoa,ސުނޯ
tshirt,teeshaatu,ޓީށާޓު
tax,teks,ޓެކްސް
taxi,teksee,ޓެކްސީ
ticket,tiketu,ޓިކެޓު
tower,tawaru,ޓަވަރު
typhoon,thoofaanu,ތޫފާނު
vote,voatu,ވޯޓު
yatch,yotu,ޔޮޓު
zip,zibu,ޒިބު
