
abaft,kolhufas,ކޮޅުފަސް
abdomen,ban'du,ބަނޑު
adjective,nanithuru,ނަންއިތުރު
adult,bodethimeehun,ބޮޑެތިމީހުން
adultery,ziney,ޒިނޭ
adverb,kanithuru,ކަންއިތުރު
advice,naseyhaiy,ނަސޭހަތް
after,fahun,ފަހުން
afternoon,mendhuru,މެންދުރު
age,umuru,އުމުރު
ago,kurin,ކުރިން
air,vai,ވައި
alone,ekani,އެކަނި
always,abadhuves,އަބަދުވެސް
ambassador,safeeru,ސަފީރު
ambergris,maavaharu,މާވަހަރު
ammunition,vazan,ވަޒަން
ancestors,kaabafain,ކާބަފައިން
angel,malaaikathu,މަލާއިކަތް
anger,rulhi,ރުޅި
animal,janavaaru,ޖަނަވާރު
annual,aharee,އަހަރީ
answer,javaabu,ޖަވާބު
ant,hini,ހިނި
apple,aafalu,އާފަލު
arm,aiy,އަތް
arab,arabi,އަރަބި
armpit,kihilifaiy,ކިހިލިފަތް
arrow,theeru,ތީރު
ash,alhi,އަޅި
atoll,atholhu,އަތޮޅު
attendance,haaziree,ހާޒިރީ
auction,neelan,ނީލަން
award,inaamu,އިނާމު
axe,koaraadi,ކޯރާޑި
bag,dhabas,ދަބަސް
ball,boalha,ބޯޅަ
balloon,fuhpaahan,ފުއްޕާހަން
banana,dhonkeyo,ދޮންކެޔޮ
bean,tholhi,ތޮޅި
beard,thun'bulhi,ތުނބުޅި
bed,en'dhu,އެނދު
beef,gerimas,ގެރިމަސް
before,kurin,ކުރިން
bell,ran'gabeelu,ރަނގަބީލު
benefit,faidhaa,ފައިދާ
big,bodu,ބޮޑު
birthday,ufandhuvas,އުފަންދުވަސް
bird,dhooni,ދޫނި
bitter,hithi,ހިތި
black,kalhu,ކަޅު
blanket,rajaa,ރަޖާ
blessing,niumaiy,ނިއުމަތް
blood,ley,ލޭ
blue,noo,ނޫ
boat,dhoani,ދޯނި
bone,kashi,ކަށި
book,foiy,ފޮތް
box,foshigan'du,ފޮށިގަނޑު
bottle,fulhi,ފުޅި
brain,sikun'di,ސިކުނޑި
bread,paan,ޕާން
breadfruit,ban'bukeyo,ބަނބުކެޔޮ
broom,fihigan'du,ފިހިގަނޑު
brother,beybe,ބޭބެ
bucket,baalidhee,ބާލިދީ
building,imaaraaiy,އިމާރާތް
business,viyafaari,ވިޔަފާރި
butterfly,kokaa,ކޮކާ
camel,jamalu,ޖަމަލު 
candy,metaa,މެޓާ
careless,faruvaakuda,ފަރުވާކުޑަ
cat,bulhaa,ބުޅާ
character,shahusihyathu,ށަހުސިއްޔަތު
chess,raazuvaa,ރާޒުވާ
chicken,kukulhu,ކުކުޅު
chilli,mirus,މިރުސް
cinnamon,fonithoshi,ފޮނިތޮށި
climate,moosun,މޫސުން
cobweb,makunuvaa,މަކުނުވާ
cockroach,kurafi,ކުރަފި
coincidence,ihthifaaagu,އިއްތިފާަގު
cold,fini,ފިނި
collar,giruvaan,ގިރުވާން
comb,funaa,ފުނާ
compass,samugaa,ސަމުގާ
consent,ruhun,ރުހުން
continent,bahru,ބައްރު
coral,muraka,މުރަކަ
corn,zuvaari,ޒުވާރި
correction,islaahu,އިސްލާހު
cotton,kafa,ކަފަ 
courage,hihvaru,ހިއްވަރު 
cow,geri,ގެރި
crab,kakuni,ކަކުނި
crazy,moya,މޮޔަ
crow,kaalhu,ކާޅު
crown,thaaju,ތާޖު
cry,ruin,ރުއިން
cup,joadu,ޖޯޑު
curly,bulhi,ބުޅި
curry,riha,ރިހަ
dagger,khanjaru,ޚަންޖަރު
danger,nurahkaa,ނުރައްކާ
dangerous,nurahkaatheri,ނުރައްކާތެރި
dark,an'dhiri,އަނދިރި
date,thaareekhu,ތާރީޚު
dates,kadhuru,ކަދުރު
dawn,fathis,ފަތިސް
day,dhuvas,ދުވަސް
daytime,dhuvaalu,ދުވާލު
deaf,beeru,ބީރު
death,maru,މަރު
debt,dharani,ދަރަނި
delicious,meeru,މީރު
desert,saharaa,ސަހަރާ
detail,thafuseelu,ތަފުސީލު
die,maruvun,މަރުވުން
difficult,un'dhagoo,އުނދަގޫ
dim,fan'du,ފަނޑު
direct,seedhaa,ސީދާ
discussion,mashvaraa,މަޝްވަރާ
disease,bali,ބަލި
divine,ilaahee,އިލާހީ
divorce,vari,ވަރި
dog,kuhthaa,ކުއްތާ
dolphin,koamas,ކޯމަސް
dome,guhbu,ގުއްބު
donkey,himaaru,ހިމާރު
door,dhoru,ދޮރު
doormat,faifuhi,ފައިފުހި
dot,thiki,ތިކި
double,dheguna,ދެގުނަ
doubt,shahku,ޝައްކު
dove,kotharu,ކޮތަރު
down,thiri,ތިރި
dragonfly,dhondhooni,ދޮންދޫނި
dream,huvafen,ހުވަފެން
drum,beru,ބެރު
duck,asdhooni,އަސްދޫނި
each,konme,ކޮންމެ
ear,kanfaiy,ކަންފަތް
earthquake,binhelun,ބިންހެލުން
earthworm,kilaafani,ކިލާފަނި
east,irumathi,އިރުމަތީ
easy,faseyha,ފަސޭހަ
eclipse,keytha,ކޭތަ
eel,ven,ވެން
egg,bis,ބިސް
eggplant,bashi,ބަށި
elbow,ulhan'boshi,އުޅަނބޮށި
electricity,karantu,ކަރަންޓު
employee,muvahzafu,މުވައްޒަފު
energy,hakatha,ހަކަތަ
environment,thimaaveshi,ތިމާވެށި
evening,haveeru,ހަވީރު
examination,imthihaanu,އިމްތިހާނު
exception,isthisnaa,އިސްތިސްނާ
exhibition,maurazu,މައުރަޒު
expensive,agubodu,އަގުބޮޑު
experience,thajuribaa,ތަޖުރިބާ
explain,olhunfiluvaa,އޮޅުންފިލުވާ
eye,loa,ލޯ
eyebrow,buma,ބުމަ
eyelash,esfiya,އެސްފިޔަ
fabric,fothi,ފޮތި
fact,haqeeqaiy,ހަޤީޤަތް
fairy,paree,ޕަރީ
family,aailaa,އާއިލާ
fan,fankaa,ފަންކާ
fat,fala,ފަލަ
father,bahpa,ބައްޕަ
feeling,ihusaas,އިހުސާސް
female,anhen,އަންހެން
fire,alifaan,އަލިފާން
flag,dhidha,ދިދަa
flavour,raha,ރަހަ
flower,maa,މާ
fly,udhuhun,އުދުހުން
foot,faithila,ފައިތިލަ
fox,hiyalhu,ހިޔަޅު
fruit,meyvaa,މޭވާ
fun,majaa,މަޖާ
fur,keheri,ކެހެރި
gecko,hoanu,ހޯނު
ginger,in'guru,އިނގުރު
glass,bihloori,ބިއްލޫރި
goat,bakari,ބަކަރި
gold,ran,ރަން
government,sarukaaru,ސަރުކާރު
grass,vina,ވިނަ
hair,isthashi,އިސްތަށި
heart,hiiy,ހިތް
heaven,suvaruge,ސުވަރުގެ
heavy,baru,ބަރު
healthy,dhulhaheyo,ދުޅަހެޔޮ
hell,naraka,ނަރަކަ
holiday,chuhtee,ޗުއްޓީ
honey,maamui,މާމުއި
horse,as,އަސް
hot,hoonu,ހޫނު
international,bainalaquvaamee,ބައިނަލްއަޤުވާމީ
jewel,javaahiru,ޖަވާހިރު
job,vazeefa,ވަޒީފާ
key,thalhudhan'di,ތަޅުދަނޑި
kitchen,badhige,ބަދިގެ
kite,gudi,ގުޑި
kill,merun,މެރުން
knee,kakoo,ކަކޫ
lacquer,liyelaa,ލިޔެލާ
language,bahuruva,ބަހުރުވަ
lazy,kanneiy,ކަންނެތް
leaf,faiy,ފަތް
leg,fai,ފައި
library,kuthubukhaanaa,ކުތުބުޚާނާ
lie,dhogu,ދޮގު
lion,singaa,ސިންގާ
lip,thunfaiy,ތުންފަތް
liver,furamey,ފުރަމޭ
luck,naseebu,ނަސީބު
lungs,fuhpaamey,ފުއްޕާމޭ
mango,an'bu,އަނބު
maths,hisaabu,ހިސާބު
middle,medhu,މެދު
modern,zamaanee,ޒަމާނީ
money,faisaa,ފައިސާ
moon,han'dhu,ހަނދު
morning,hen'dhunu,ހެނދުނު
mosque,miskiiy,މިސްކިތް
mosquito,madhiri,މަދިރި
mother,manma,މަންމަ
mouse,meedhaa,މީދާ
moustache,mathimas,މަތިމަސް
mountain,farubadha,ފަރުބަދަ
mouth,an'ga,އަނގަ
motive,magusadhu,މަގުސަދު
nail,niyafathi,ނިޔަފަތި
name,nan,ނަން
neighbor,avahteriyaa,އަވަށްޓެރިޔާ
nest,haali,ހާލި
news,khabaru,ޚަބަރު
nickname,vanan,ވަނަން
night,reygan'du,ރޭގަނޑު
nose,neyfaiy,ނޭފަތް
now,mihaaru,މިހާރު
old,muskulhi,މުސްކުޅި
